TwitterID;URL1;URL2;URL3;;;;
11964332;mobro.co/keithmetzporozni;;;;;;
12009252;mobro.co/masonblake;;;;;;
12043772;mobro.co/snackdog;;;;;;
12043772;us.movember.com/register/;;;;;;
12086482;mobro.co/RabbleRaiser;;;;;;
12086482;moteam.co/dads-bloggers;;;;;;
12100282;instagram.com/p/wDYpjipbHH/;;;;;;
12100282;ow.ly/EGn8a;;;;;;
12100282;ow.ly/EGmSt;;;;;;
12100282;ow.ly/EBAQH;;;;;;
12100282;ow.ly/ExNxy;;;;;;
12100282;ow.ly/ExNa9;;;;;;
12100282;klou.tt/7m8ngbyr51js;;;;;;
12100282;klou.tt/7m8ngbyr51js;;;;;;
12100282;youtu.be/xUOGNPTYcyI?a;;;;;;
12100282;lifeofdad.com/blog_post.php?pid=19114;;;;;;
12100282;lifeofdad.com/blog_post.php?pid=19114;;;;;;
12100282;ow.ly/Euj3A;;;;;;
12100282;ow.ly/EuioB;;;;;;
12100282;mobro.co/DiaryDad;;;;;;
12100282;ow.ly/Edozw;;;;;;
12100282;ow.ly/Edot1;;;;;;
12100282;ow.ly/DRxkO;;;;;;
12100282;mobro.co/DiaryDad';instagram.com/p/vWCW5mJbCu/;;;;;
12100282;ow.ly/E8dpX;;;;;;
12100282;mobro.co/DiaryDad';instagram.com/p/vRzz5lpbPN/;;;;;
12100282;moteam.co/Dads-Bloggers;;;;;;
12100282;ow.ly/E8dbE;;;;;;
12100282;moteam.co/Dads-Bloggers;;;;;;
12100282;ow.ly/DRxkO;;;;;;
12100282;ow.ly/DYLev;;;;;;
12100282;ow.ly/DRxkO;;;;;;
12100282;ow.ly/DRxkO;;;;;;
12100282;ow.ly/DRxkO;;;;;;
12100282;ow.ly/DRxkO;;;;;;
12100282;ow.ly/DWe72;;;;;;
12100282;instagram.com/p/vBq62LJbP2/;;;;;;
12100282;lifeofdad.com/podcast_episode.php?pcid=1688;;;;;;
12100282;lifeofdad.com/podcast_episode.php?pcid=1688;;;;;;
12100282;lifeofdad.com/podcast_episode.php?pcid=1688;;;;;;
12323282;instagram.com/p/vymOa9Nyjq/';mobro.co/piontekdd;;;;;
12415252;mobro.co/netsuitecraig;;;;;;
12516232;instagram.com/p/v9xDNRp8DG/;;;;;;
12516232;mobro.co/peterryanhamilton;;;;;;
12787012;mobro.co/timroman;;;;;;
12875932;www.linkedin.com/pulse/article/20141117200518-183022575-5-things-to-remember-about-movember;;;;;;
12875932;mobro.co/reidwegley;;;;;;
12875932;www.linkedin.com/pulse/article/20141117200518-183022575-5-things-to-remember-about-movember;;;;;;
12875932;www.linkedin.com/pulse/article/20141117200518-183022575-5-things-to-remember-about-movember;;;;;;
